# ran on: 2022-08-08
# method = continuous (https://github.com/Elliot-Wadge/MagnetizationFitting)
# Ms = 1375.83 kA/m
# Mr/Ms = 0.2803
# J1 = 2.6907 +/- 0.0037 mJ/m^2
# J2 = 1.6889 +/- 0.0038 mJ/m^2
# A = 3.0000 +/- 0.0361 * 10 pJ/m
# theta from data = 147.44 degrees
# theta from model = 120.00 degrees
# average theta = 133.72 degrees
# measured saturation field = 3.030 T
# model saturation field = 2.950 T
# red chisq = 6.733 +/- 0.054
# standard deviation = 0.001411
# 
# Field (T),Mag (Data) (kA/m),Mag (Model) (kA/m),Residuals(kA/m)
1.270000000000000018e+00,1.174791395206800981e+00,1.179046822211774481e+00,-4.255427004973529395e-03
1.280000000000000027e+00,1.177595693054660053e+00,1.181186328286891518e+00,-3.590635232231342670e-03
1.290000000000000036e+00,1.183242215645571749e+00,1.183306275435386024e+00,-6.405978981432584342e-05
1.300000000000000044e+00,1.186725253730577911e+00,1.185406906097359325e+00,1.318347633218476447e-03
1.310000000000000053e+00,1.187959964780035182e+00,1.187488458551266168e+00,4.715062287690701022e-04
1.320000000000000062e+00,1.191188475276111269e+00,1.189551167027240730e+00,1.637308248870449068e-03
1.330000000000000071e+00,1.195180568538977361e+00,1.191595261801276395e+00,3.585306737701097601e-03
1.340000000000000080e+00,1.195694118086466640e+00,1.193620969283316180e+00,2.073148803150468358e-03
1.350000000000000089e+00,1.197183356724853986e+00,1.195628512106748031e+00,1.554844618105942402e-03
1.360000000000000098e+00,1.200072497102356861e+00,1.197618109215138560e+00,2.454387887218107724e-03
1.370000000000000107e+00,1.199652778823768751e+00,1.199589975946299125e+00,6.280287746964513420e-05
1.379999999999999893e+00,1.201226859991799456e+00,1.201544324113808404e+00,-3.174641220088420977e-04
1.389999999999999902e+00,1.205728008432525922e+00,1.203481362086062934e+00,2.246646346463131768e-03
1.399999999999999911e+00,1.208744412604493501e+00,1.205401294862981976e+00,3.343117741511570078e-03
1.409999999999999920e+00,1.207221741440542173e+00,1.207304324145148877e+00,-8.258270460676898439e-05
1.419999999999999929e+00,1.209389720316076389e+00,1.209190648410888302e+00,1.990719051880631687e-04
1.429999999999999938e+00,1.213763604962337705e+00,1.211060462992627595e+00,2.703141969710186332e-03
1.439999999999999947e+00,1.216780009134305507e+00,1.212913960139197167e+00,3.866048995108208909e-03
1.449999999999999956e+00,1.219414621922878306e+00,1.214751329081966480e+00,4.663292840911718168e-03
1.459999999999999964e+00,1.220182699059297216e+00,1.216572756099099539e+00,3.609942960197566955e-03
1.469999999999999973e+00,1.222223414140366504e+00,1.218378424577998498e+00,3.844989562368088341e-03
1.479999999999999982e+00,1.224518656810365647e+00,1.220168515075992000e+00,4.350141734373684337e-03
1.489999999999999991e+00,1.225710946595001127e+00,1.221943205379336428e+00,3.767741215664893728e-03
1.500000000000000000e+00,1.226309338672133764e+00,1.223702670560590455e+00,2.606668111543202979e-03
1.510000000000000009e+00,1.231319542290719937e+00,1.225447083034416851e+00,5.872459256303068191e-03
1.520000000000000018e+00,1.233020887253216014e+00,1.227176612611866391e+00,5.844274641349775368e-03
1.530000000000000027e+00,1.232601168974627903e+00,1.228891426550553945e+00,3.709742424074159717e-03
1.540000000000000036e+00,1.234981254174270626e+00,1.230591689606213457e+00,4.389564568057360144e-03
1.550000000000000044e+00,1.236809862931231629e+00,1.232277564090363375e+00,4.532298840868178615e-03
1.560000000000000053e+00,1.238086995245510691e+00,1.233949209914041001e+00,4.137785331469681291e-03
1.570000000000000062e+00,1.240679186769261477e+00,1.235606784635106203e+00,5.072402134155229621e-03
1.580000000000000071e+00,1.244459173708019506e+00,1.237250443504457120e+00,7.208730203562372686e-03
1.590000000000000080e+00,1.242809238749603029e+00,1.238880339511046369e+00,3.928899238556660123e-03
1.600000000000000089e+00,1.246758910747647553e+00,1.240496623425749956e+00,6.262287321897696928e-03
1.610000000000000098e+00,1.246593720057989962e+00,1.242099443844116857e+00,4.494276213873084347e-03
1.620000000000000107e+00,1.247786009842625665e+00,1.243688947228046349e+00,4.097062614579358164e-03
1.629999999999999893e+00,1.252244737018530341e+00,1.245265277946409510e+00,6.979459072120748966e-03
1.639999999999999902e+00,1.250637223324935432e+00,1.246828578314675529e+00,3.808645010259836643e-03
1.649999999999999911e+00,1.254714159117445105e+00,1.248378988633544129e+00,6.335170483901054854e-03
1.659999999999999920e+00,1.254209598309213858e+00,1.249916647226641420e+00,4.292951082572220474e-03
1.669999999999999929e+00,1.254935254180811199e+00,1.251441690477292257e+00,3.493563703518918345e-03
1.679999999999999938e+00,1.255491224993121824e+00,1.252954252862347184e+00,2.536972130774528544e-03
1.689999999999999947e+00,1.258168259046515969e+00,1.254454466988272232e+00,3.713792058243699408e-03
1.699999999999999956e+00,1.260760450570267199e+00,1.255942463629484696e+00,4.817986940782505514e-03
1.709999999999999964e+00,1.261189157588112897e+00,1.257418371758609821e+00,3.770785829502990624e-03
1.719999999999999973e+00,1.260472490455773142e+00,1.258882318579046977e+00,1.590171876726035336e-03
1.729999999999999982e+00,1.265143323955786103e+00,1.260334429556801306e+00,4.808894398984765554e-03
1.739999999999999991e+00,1.263620652791834997e+00,1.261774828451582176e+00,1.845824340252803829e-03
1.750000000000000000e+00,1.269139911588281322e+00,1.263203637347179331e+00,5.936274241101824334e-03
1.760000000000000009e+00,1.271732103112032330e+00,1.264620976681153586e+00,7.111126430878637189e-03
1.770000000000000018e+00,1.269021636533073982e+00,1.266026965273845617e+00,2.994671259228327137e-03
1.780000000000000027e+00,1.276407430981674196e+00,1.267421720356736170e+00,8.985710624937994634e-03
1.790000000000000036e+00,1.274842338552901078e+00,1.268805357600171435e+00,6.036980952729653800e-03
1.800000000000000044e+00,1.278198112843442313e+00,1.270177991140467810e+00,8.020121702974404229e-03
1.810000000000000053e+00,1.279899457805937946e+00,1.271539733606426248e+00,8.359724199511751538e-03
1.820000000000000062e+00,1.278079837788234974e+00,1.272890696145262845e+00,5.189141642971979024e-03
1.830000000000000071e+00,1.280035710339660682e+00,1.274230988447972113e+00,5.804721891688447571e-03
1.840000000000000080e+00,1.281609791507691609e+00,1.275560718774150448e+00,6.049072733541134041e-03
1.850000000000000089e+00,1.283947455442512542e+00,1.276879993976281158e+00,7.067461466231333631e-03
1.860000000000000098e+00,1.287091123408945492e+00,1.278188919523513212e+00,8.902203885432160776e-03
1.870000000000000107e+00,1.282641384972298404e+00,1.279487599524770758e+00,3.153785447527739354e-03
1.879999999999999893e+00,1.286675899499986286e+00,1.280776136749888217e+00,5.899762750098247639e-03
1.889999999999999902e+00,1.283626062802454726e+00,1.282054632655189597e+00,1.571430147265109357e-03
1.899999999999999911e+00,1.288212053772824328e+00,1.283323187404510124e+00,4.888866368314107036e-03
1.909999999999999920e+00,1.289107394703708387e+00,1.284581899889975842e+00,4.525494813732496013e-03
1.919999999999999929e+00,1.289111889073337291e+00,1.285830867752985052e+00,3.281021320352253690e-03
1.929999999999999938e+00,1.295352309371752275e+00,1.287070187404759203e+00,8.282121966993115716e-03
1.939999999999999947e+00,1.292005523820468849e+00,1.288299954046494555e+00,3.705569773974239870e-03
1.949999999999999956e+00,1.293834132577429630e+00,1.289520261689114822e+00,4.313870888314956346e-03
1.959999999999999964e+00,1.294093154535988610e+00,1.290731203172637898e+00,3.361951363350627539e-03
1.969999999999999973e+00,1.296133869617057899e+00,1.291932870185174664e+00,4.200999431883152037e-03
1.979999999999999982e+00,1.298089742168483829e+00,1.293125353281565859e+00,4.964388886918065166e-03
1.989999999999999991e+00,1.299324453217941100e+00,1.294308741901665671e+00,5.015711316275432013e-03
2.000000000000000000e+00,1.301450010828653525e+00,1.295483124388293383e+00,5.966886440360080236e-03
2.009999999999999787e+00,1.302175666700250867e+00,1.296648588004851721e+00,5.527078695399157901e-03
2.020000000000000018e+00,1.301077208184516332e+00,1.297805218952630346e+00,3.271989231885839410e-03
2.029999999999999805e+00,1.305790462949351083e+00,1.298953102387802039e+00,6.837360561548887043e-03
2.040000000000000036e+00,1.308085705619350447e+00,1.300092322438128001e+00,7.993383181222420489e-03
2.049999999999999822e+00,1.304611656273602094e+00,1.301222962219368284e+00,3.388694054233752726e-03
2.060000000000000053e+00,1.306906898943601014e+00,1.302345103851426211e+00,4.561795092174886213e-03
2.069999999999999840e+00,1.308184031257880298e+00,1.303458828474227227e+00,4.725202783653049965e-03
2.080000000000000071e+00,1.313279077406110051e+00,1.304564216263341070e+00,8.714861142769165375e-03
2.089999999999999858e+00,1.314938001103784115e+00,1.305661346445364801e+00,9.276654658419215480e-03
2.100000000000000089e+00,1.310827632785710684e+00,1.306750297313070908e+00,4.077335472639642341e-03
2.109999999999999876e+00,1.311977501305524818e+00,1.307831146240338027e+00,4.146355065186871532e-03
2.120000000000000107e+00,1.314230322710702392e+00,1.308903969696873615e+00,5.326353013828674134e-03
2.129999999999999893e+00,1.316525565380701535e+00,1.309968843262733218e+00,6.556722117968484878e-03
2.140000000000000124e+00,1.316148268366935437e+00,1.311025841642661671e+00,5.122426724273908445e-03
2.149999999999999911e+00,1.316322447795851058e+00,1.312075038680256212e+00,4.247409115594717559e-03
2.160000000000000142e+00,1.319169166908532143e+00,1.313116507371971942e+00,6.052659536560242581e-03
2.169999999999999929e+00,1.319088818748517689e+00,1.314150319880981632e+00,4.938498867536124035e-03
2.180000000000000160e+00,1.321511325212981758e+00,1.315176547550903186e+00,6.334777662078745764e-03
2.189999999999999947e+00,1.320540130491712150e+00,1.316195260919406085e+00,4.344869572305994597e-03
2.200000000000000178e+00,1.321435471422596208e+00,1.317183817761707232e+00,4.251653660888987836e-03
2.209999999999999964e+00,1.323561029033308856e+00,1.318188939863837783e+00,5.372089169471034459e-03
2.220000000000000195e+00,1.325516901584734786e+00,1.319185669568069263e+00,6.331232016665530940e-03
2.229999999999999982e+00,1.327048561487943923e+00,1.320175212657851649e+00,6.873348830092193378e-03
2.240000000000000213e+00,1.325568311588814163e+00,1.321157581216384713e+00,4.410730372429382332e-03
2.250000000000000000e+00,1.326124282401124788e+00,1.322132843970075244e+00,3.991438431049536273e-03
2.259999999999999787e+00,1.324983402620568462e+00,1.323101066105068835e+00,1.882336515499531595e-03
2.270000000000000018e+00,1.329314866002008211e+00,1.324062312254211005e+00,5.252553747797049193e-03
2.279999999999999805e+00,1.328937568988241891e+00,1.325016646359685080e+00,3.920922628556871778e-03
2.290000000000000036e+00,1.329705646124661023e+00,1.325964131694591375e+00,3.741514430069547720e-03
2.299999999999999822e+00,1.331873625000195238e+00,1.326904830876373786e+00,4.968794123821339802e-03
2.310000000000000053e+00,1.330690323954817122e+00,1.327838805880900752e+00,2.851518073916423264e-03
2.319999999999999840e+00,1.329931235557656022e+00,1.328766118056752488e+00,1.165117500903438538e-03
2.330000000000000071e+00,1.336468604709822428e+00,1.329686828139806654e+00,6.781776570015888433e-03
2.339999999999999858e+00,1.336176150225699910e+00,1.330600996268164193e+00,5.575153957535730620e-03
2.350000000000000089e+00,1.335756431947111800e+00,1.331508681997514820e+00,4.247749949596989032e-03
2.359999999999999876e+00,1.335718505051918914e+00,1.332409944316939487e+00,3.308560734979457824e-03
2.370000000000000107e+00,1.336613845982802973e+00,1.333304841665278850e+00,3.309004317524118048e-03
2.379999999999999893e+00,1.339036352447267486e+00,1.334193431948137221e+00,4.842920499130263720e-03
2.390000000000000124e+00,1.338913583022431242e+00,1.335075772555626372e+00,3.837810466804945052e-03
2.399999999999999911e+00,1.339766502688493732e+00,1.335951889401079784e+00,3.814613287413979887e-03
