# ran on: 2022-07-28
# method = continuous (https://github.com/Elliot-Wadge/MagnetizationFitting)
# J1 = 2.6907 +/- 0.0037
# J2 = 1.6889 +/- 0.0038
# A = 3.0000 +/- 0.0361
# measured saturation field = 3.03 T
# fit saturation field = 2.95 T
# Ms = 1.38e+03 kA/m
# Mr = 1.25e-01 kA/m
# Mr/Ms = 9.09e-05
# theta_data = 180.0
# theta_model = 142.8
# theta = 161.4
# red chisq = 15.732 +/- 0.054
# 
# Field (T),Mag (Data) (kA/m),Mag (Model) (kA/m),Residuals(kA/m)
2.299999999999999822e+00,1.331873625000195238e+00,1.326904830153652570e+00,4.968794846542667898e-03
2.310000000000000053e+00,1.330690323954817122e+00,1.327838805157419033e+00,2.851518797398089333e-03
2.319999999999999840e+00,1.329931235557656022e+00,1.328766117332522034e+00,1.165118225133987551e-03
2.330000000000000071e+00,1.336468604709822428e+00,1.329686827414841233e+00,6.781777294981194970e-03
2.339999999999999858e+00,1.336176150225699910e+00,1.330600995542474907e+00,5.575154683225003183e-03
2.350000000000000089e+00,1.335756431947111800e+00,1.331508681271112549e+00,4.247750675999251158e-03
2.359999999999999876e+00,1.335718505051918914e+00,1.332409943589836665e+00,3.308561462082248994e-03
2.370000000000000107e+00,1.336613845982802973e+00,1.333304840937485025e+00,3.309005045317947591e-03
2.379999999999999893e+00,1.339036352447267486e+00,1.334193431219664827e+00,4.842921227602658973e-03
2.390000000000000124e+00,1.338913583022431242e+00,1.335075771826484736e+00,3.837811195946505549e-03
2.399999999999999911e+00,1.339766502688493732e+00,1.335951888672347376e+00,3.814614016146355979e-03
2.410000000000000142e+00,1.343037434449391387e+00,1.336821181504493028e+00,6.216252944898359445e-03
2.419999999999999929e+00,1.339733070162929751e+00,1.337684360109361537e+00,2.048710053568214562e-03
2.430000000000000160e+00,1.343937269749904129e+00,1.338541482922535941e+00,5.395786827368187488e-03
2.439999999999999947e+00,1.344662925621501692e+00,1.339392603036970941e+00,5.270322584530751087e-03
2.450000000000000178e+00,1.345727951611672246e+00,1.340237772856964105e+00,5.490178754708141540e-03
2.459999999999999964e+00,1.344629493095937711e+00,1.341077044223734749e+00,3.552448872202962349e-03
2.470000000000000195e+00,1.343021979402343025e+00,1.341910468423168634e+00,1.111510979174390457e-03
2.479999999999999982e+00,1.344426375511087013e+00,1.342738096193616837e+00,1.688279317470176011e-03
2.490000000000000213e+00,1.351769748694865436e+00,1.343559977733633559e+00,8.209770961231876996e-03
2.500000000000000000e+00,1.346810955080358418e+00,1.344376162709661759e+00,2.434792370696658992e-03
2.509999999999999787e+00,1.346985134509274040e+00,1.345186700263701240e+00,1.798434245572799739e-03
2.520000000000000018e+00,1.349110692119986465e+00,1.345991639020948760e+00,3.119053099037705223e-03
2.529999999999999805e+00,1.351914989967845981e+00,1.346791027097443250e+00,5.123962870402731795e-03
2.540000000000000036e+00,1.350010527420499651e+00,1.347584912107753885e+00,2.425615312745765806e-03
2.549999999999999822e+00,1.351075553410670205e+00,1.348373341172716788e+00,2.702212237953416363e-03
2.560000000000000053e+00,1.350995205250655973e+00,1.349156360927264098e+00,1.838844323391874980e-03
2.569999999999999840e+00,1.353120762861368398e+00,1.349934017528396479e+00,3.186745332971918643e-03
2.580000000000000071e+00,1.352743465847602078e+00,1.350706356663693430e+00,2.037109183908647481e-03
2.589999999999999858e+00,1.352705538952409414e+00,1.351473423559492515e+00,1.232115392916899310e-03
2.600000000000000089e+00,1.355043202887230347e+00,1.352235262989166742e+00,2.807939898063605000e-03
2.609999999999999876e+00,1.356065807612579333e+00,1.352991919282636291e+00,3.073888329943041953e-03
2.620000000000000107e+00,1.356409672100781671e+00,1.353743436336089401e+00,2.666235764692270749e-03
2.629999999999999893e+00,1.353614362992180187e+00,1.354489857622408699e+00,-8.754946302285127047e-04
2.640000000000000124e+00,1.359515413172021958e+00,1.355231226202507910e+00,4.284186969514047760e-03
